ID,Race,Age,Sex,HS_GPA,ACT,ACT_ENG,ACT_MATH,ACT_READ,ACT_SCI,MAJOR_CODE,Stype,Hours
7537,Hispanic,22,Male,3.31,NA,NA,NA,NA,NA,98,C,18
4692,White,24,Female,3.65,27,28,27,26,27,50,C,12
4540,Black,23,Male,2.77,26,25,26,27,26,23,C,15
1645,White,31,Female,3.16,20,21,21,20,19,32,C,14
206,White,33,Female,3.23,NA,NA,NA,NA,NA,5,C,14
7061,Native,22,Female,3.87,23,24,20,22,25,29,C,15
7098,Hispanic,35,Female,3.45,26,25,26,29,25,103,C,15
7417,Black,29,Male,3.42,19,20,20,20,18,43,C,12
8426,White,22,Female,3.41,28,30,27,30,29,122,C,17
6624,Black,33,Female,2.94,27,26,26,29,27,1,C,16
2086,Hispanic,35,Female,3.05,18,18,21,18,18,89,C,16
119,Black,28,Female,3.04,32,31,31,32,31,16,C,2
6033,Hispanic,29,Male,3.15,NA,NA,NA,NA,NA,1,C,12
5784,Bi-Racial,32,Male,2.79,NA,NA,NA,NA,NA,114,C,12
7005,White,31,Female,3.9,NA,NA,NA,NA,NA,21,C,15
3111,White,22,Female,3.31,NA,NA,NA,NA,NA,99,C,2
8,White,20,Female,3.58,22,22,20,22,23,114,C,15
5358,White,26,Female,3.39,NA,NA,NA,NA,NA,31,C,16
7689,White,27,Male,3.35,NA,NA,NA,NA,NA,122,C,3
506,Hispanic,27,Male,3.91,NA,NA,NA,NA,NA,111,C,15
367,Hispanic,23,Male,2.95,31,32,32,27,29,86,C,15
4699,White,19,Female,2.6,20,19,19,22,21,29,C,18
1340,Asian,20,Female,3.45,32,33,33,34,31,102,C,4
6697,White,23,Female,3.7,23,24,22,25,23,21,C,12
3513,White,32,Female,3.37,21,23,22,21,19,14,C,13
4745,Asian,31,Male,3.66,19,16,20,20,20,107,C,3
5656,White,20,Female,3.38,NA,NA,NA,NA,NA,43,C,6
3323,Hispanic,35,Female,2.64,23,22,24,23,20,54,C,3
3957,White,29,Male,3.5,NA,NA,NA,NA,NA,31,C,16
1474,Black,19,Female,3.46,17,18,18,16,17,75,C,15
1261,White,19,Female,3.42,NA,NA,NA,NA,NA,26,C,12
6822,White,18,Female,3.88,NA,NA,NA,NA,NA,108,C,17
6380,White,27,Female,3.43,27,25,26,30,28,19,C,17
573,White,19,Female,2.63,NA,NA,NA,NA,NA,5,C,15
8175,White,29,Female,3,NA,NA,NA,NA,NA,72,C,16
8379,White,26,Male,3.23,16,17,16,18,16,50,C,12
2123,White,33,Female,3.85,21,22,21,21,23,8,C,15
8853,White,27,Female,3.8,NA,NA,NA,NA,NA,9,C,3
5090,White,24,Female,3.63,NA,NA,NA,NA,NA,38,C,2
3012,White,31,Female,2.84,22,25,21,25,24,86,C,16
2786,White,33,Female,3.92,NA,NA,NA,NA,NA,99,C,12
2366,White,30,Male,3.66,15,14,15,17,16,104,C,12
7791,White,35,Female,3.33,20,15,20,20,20,1,C,15
7755,Asian,20,Female,3.09,23,22,22,23,23,33,C,14
2980,White,30,Male,3.31,NA,NA,NA,NA,NA,25,C,2
7606,White,26,Male,2.3,NA,NA,NA,NA,NA,20,C,2
8125,Black,19,Male,3.56,23,23,24,24,23,116,C,15
2114,White,28,Female,3.54,NA,NA,NA,NA,NA,22,C,13
5345,Black,21,Female,2.73,NA,NA,NA,NA,NA,50,C,15
6712,Hispanic,19,Male,3.46,27,29,28,29,29,107,C,15
4297,Hispanic,18,Female,3.18,15,18,16,15,16,98,C,6
7025,White,34,Male,3.5,23,23,22,24,25,43,C,16
3576,White,21,Female,2.72,21,20,21,18,19,24,C,14
517,Hispanic,19,Female,2.86,22,24,22,22,22,100,C,15
558,White,23,Male,3.26,NA,NA,NA,NA,NA,74,C,16
1958,White,32,Male,3.47,29,30,31,28,30,100,C,15
58,White,24,Male,3.96,18,15,18,19,17,1,C,15
6788,White,28,Male,3.13,22,22,20,23,23,26,C,7
6103,White,30,Female,3.17,NA,NA,NA,NA,NA,29,C,12
2775,Hispanic,32,Female,3.62,14,14,18,13,13,31,C,12
2558,White,29,Female,2.42,28,27,30,28,29,17,C,16
6925,Hispanic,18,Female,2.69,NA,NA,NA,NA,NA,31,C,15
964,White,23,Male,3.45,25,26,24,24,22,114,C,4
7639,White,29,Male,2.78,NA,NA,NA,NA,NA,107,C,13
364,White,22,Male,3.34,19,20,17,18,20,31,C,15
4476,White,18,Male,2.55,22,21,22,22,21,32,C,16
7643,White,20,Male,2.91,25,23,25,24,23,38,C,12
2274,White,22,Male,3.06,20,19,23,20,18,101,C,11
625,White,29,Female,3.82,24,26,22,25,22,5,C,7
3423,White,28,Male,3.7,21,24,21,22,23,107,C,12
1222,White,20,Male,2.76,19,20,20,20,20,50,C,13
4934,White,31,Female,2.98,NA,NA,NA,NA,NA,54,C,13
6252,White,22,Male,3.57,NA,NA,NA,NA,NA,40,C,12
5799,White,35,Male,3.46,27,28,26,27,26,5,C,3
1147,Asian,26,Male,3.26,27,29,24,25,27,107,C,12
125,White,23,Male,3.68,NA,NA,NA,NA,NA,85,C,12
6765,Hispanic,19,Male,3.23,21,20,23,22,21,100,C,15
1430,Asian,25,Female,3.84,24,25,26,21,24,111,C,15
2755,Black,25,Female,3.38,NA,NA,NA,NA,NA,4,C,18
6134,Hispanic,27,Male,3.44,16,16,15,15,14,107,C,14.5
5445,Hispanic,27,Male,4,18,19,18,18,19,30,C,12
18,White,22,Male,3.79,21,21,23,23,21,17,C,12
3907,White,26,Female,2.95,NA,NA,NA,NA,NA,29,C,15
514,Hispanic,35,Male,3.63,21,21,25,22,21,104,C,12
4573,White,31,Male,2.72,19,20,18,20,23,50,C,12
2859,White,25,Male,2,19,22,20,17,19,104,C,15
6679,White,20,Male,3.17,23,20,24,23,21,9,C,15
6709,Black,27,Female,3.92,NA,NA,NA,NA,NA,5,C,15
7543,White,24,Female,3.64,17,17,18,16,17,69,C,8
1085,White,22,Male,3.45,NA,NA,NA,NA,NA,74,C,9
8720,Black,22,Female,3.56,21,21,22,21,20,14,C,12
5829,White,31,Male,3.37,21,19,20,23,18,1,C,15
3257,Asian,21,Female,3.95,16,15,15,16,16,22,C,18
7451,White,19,Male,2.75,26,28,27,26,27,27,C,13
2624,White,32,Male,2.6,20,20,20,20,19,107,C,8
28,White,18,Male,3.98,17,15,19,17,17,50,C,3
6276,Black,33,Male,3.04,18,18,15,20,17,1,C,16
2388,White,22,Male,3.24,23,21,22,23,24,111,C,15
4359,Hispanic,18,Female,2.39,NA,NA,NA,NA,NA,1,C,15
1286,White,34,Male,3.1,NA,NA,NA,NA,NA,30,C,14
6869,White,21,Female,1.26,26,27,27,24,26,31,C,15
5947,White,35,Female,3.48,21,21,21,22,21,52,C,16
6916,Hispanic,21,Female,3.36,19,21,19,17,17,8,C,6
2989,Hispanic,24,Male,3.94,20,19,18,21,19,75,C,13
3307,White,20,Male,2.63,20,21,19,21,20,122,C,12
5724,White,29,Female,3.43,27,29,27,28,26,1,C,12
225,Hispanic,32,Female,3.21,NA,NA,NA,NA,NA,11,C,7
6576,White,34,Male,3.14,20,19,22,19,22,74,C,15
31,White,29,Male,3.32,31,32,32,31,31,1,C,15
4008,White,18,Male,3.25,22,22,23,20,22,107,C,14
2493,White,22,Male,2.78,NA,NA,NA,NA,NA,71,C,13
1857,White,27,Male,2.64,21,18,20,18,19,21,C,2
4794,White,26,Male,3.15,NA,NA,NA,NA,NA,29,C,3
7807,White,32,Female,3.82,NA,NA,NA,NA,NA,1,C,13
244,Black,26,Female,3.71,NA,NA,NA,NA,NA,33,C,15
5519,White,33,Male,3.85,15,16,14,18,15,14,C,15
588,White,26,Male,3.06,NA,NA,NA,NA,NA,116,C,14
4637,Asian,26,Female,3.43,21,24,19,22,22,56,C,2
3376,White,25,Female,2.9,NA,NA,NA,NA,NA,31,C,15
4910,White,25,Male,3.58,27,28,25,28,27,86,C,5
8054,Hispanic,35,Male,3.11,29,29,26,29,30,1,C,12
8164,White,25,Male,2.68,19,19,20,20,20,50,C,10
2436,White,23,Male,2.79,20,20,18,21,20,40,C,15
759,White,23,Male,3.8,NA,NA,NA,NA,NA,5,C,5
5004,White,33,Male,3.25,NA,NA,NA,NA,NA,32,C,15
8311,White,27,Female,3.83,NA,NA,NA,NA,NA,14,C,14
2736,Asian,35,Female,3.09,20,20,19,18,17,1,C,14
4738,Hispanic,24,Female,3,27,25,30,31,27,17,C,16
3721,White,22,Male,3.27,20,21,19,19,18,60,C,18
5431,Hispanic,28,Male,2.46,20,23,19,22,21,111,C,15
508,Black,32,Female,3.4,NA,NA,NA,NA,NA,107,C,15
8208,Hispanic,32,Male,3.46,28,27,28,27,28,43,C,3
6208,White,26,Male,3.87,NA,NA,NA,NA,NA,63,C,11
5568,White,24,Female,3.67,NA,NA,NA,NA,NA,33,C,12
4715,Asian,30,Female,3.11,18,19,18,18,18,1,C,14
6006,White,22,Male,3.93,22,22,22,23,22,26,C,12
7274,Black,21,Female,2.81,23,22,22,22,21,40,C,12
7153,White,29,Male,3.94,26,27,27,25,25,8,C,4
6122,Hispanic,20,Female,3.98,27,27,26,27,27,50,C,13
8572,White,24,Female,3.01,21,22,21,23,21,1,C,17
8812,Native,18,Male,2.83,NA,NA,NA,NA,NA,58,C,18
7945,White,23,Male,3.27,NA,NA,NA,NA,NA,122,C,12
8465,White,21,Male,3.57,21,21,20,21,20,88,C,14
6163,White,35,Female,3.8,25,25,27,26,25,107,C,13
3947,Hispanic,21,Male,3.5,25,26,24,23,24,104,C,14
2617,White,35,Male,2.56,18,17,20,17,20,111,C,15
7370,White,27,Female,2.96,19,20,18,20,20,115,C,13
4904,White,35,Male,2.8,29,30,28,30,31,5,C,15
484,White,25,Female,3.24,NA,NA,NA,NA,NA,38,C,15
7805,White,35,Female,3.9,21,20,21,21,19,111,C,1
7169,White,24,Female,2.58,31,31,33,31,31,1,C,15
3708,White,20,Male,3.02,21,21,23,20,22,1,C,2
5018,White,33,Male,3.55,NA,NA,NA,NA,NA,107,C,6
6219,White,24,Male,3.33,22,20,20,22,20,107,C,12
8129,White,30,Female,3.36,19,18,18,19,18,33,C,16
4230,White,22,Female,3.16,25,25,28,25,25,43,C,15
169,White,25,Female,2.96,NA,NA,NA,NA,NA,1,C,16
5798,White,25,Male,2.71,23,24,25,25,25,1,C,13
5094,White,25,Female,3.68,NA,NA,NA,NA,NA,77,C,10
792,White,30,Male,3.52,23,22,24,22,22,88,C,15
928,Black,18,Male,2.63,17,18,16,19,19,104,C,10
272,Bi-Racial,23,Male,3.11,12,13,12,11,13,108,C,15
1942,White,27,Female,3.3,19,18,18,18,17,25,C,13
5314,Hispanic,32,Female,3.79,23,26,22,25,24,5,C,13
8416,Hispanic,29,Male,2.79,23,25,22,22,20,105,C,12
160,White,20,Female,3.23,29,30,30,28,28,114,C,15
4001,White,25,Female,2.66,17,17,17,17,16,40,C,15
3505,White,20,Female,3.26,25,26,24,24,26,25,C,12
1023,White,21,Male,3.25,21,19,20,24,21,5,C,6
1970,White,21,Female,3.06,NA,NA,NA,NA,NA,1,C,16
6536,Hispanic,25,Male,3.33,NA,NA,NA,NA,NA,1,C,15
6800,White,30,Female,3.69,21,20,20,20,22,29,C,6
1160,Hispanic,22,Female,3.24,NA,NA,NA,NA,NA,98,C,2
329,White,25,Female,2.22,NA,NA,NA,NA,NA,88,C,12
6408,Black,29,Female,2.51,NA,NA,NA,NA,NA,85,C,14
4186,White,34,Female,3.85,25,23,25,25,24,98,C,14
4963,White,22,Male,3.03,18,18,18,17,19,50,C,16
8610,Black,35,Female,3.03,NA,NA,NA,NA,NA,1,C,15
7959,White,34,Female,2.78,27,28,28,28,27,74,C,14
2309,Hispanic,22,Female,3.45,22,23,24,21,24,1,C,18
3185,Bi-Racial,24,Female,3.72,22,21,21,23,21,95,C,13
6658,White,30,Female,3.25,27,28,24,27,26,107,C,1
3161,White,20,Female,3.77,NA,NA,NA,NA,NA,88,C,12
5725,Hispanic,29,Male,2.73,23,24,20,25,23,14,C,12
3115,White,20,Male,3.79,17,17,17,20,16,46,C,6
2854,Black,21,Female,2.62,NA,NA,NA,NA,NA,111,C,13
3713,White,33,Male,3.35,27,29,25,27,25,29,C,12
1585,White,18,Male,3.51,25,23,24,24,25,16,C,15
1366,White,25,Female,3.06,NA,NA,NA,NA,NA,104,C,12
5149,White,27,Male,2.67,23,22,23,23,23,5,C,12
4616,White,27,Male,3.01,20,21,17,22,17,114,C,16
2329,White,25,Female,3.24,22,25,24,22,23,56,C,14
3377,White,27,Female,2.51,NA,NA,NA,NA,NA,114,C,14
2975,Black,29,Female,3.56,25,24,24,24,25,85,C,12
6433,Black,22,Male,2.73,21,19,21,21,22,1,C,15
5245,White,27,Male,3.25,24,25,26,22,24,58,C,15
2502,White,27,Female,2.95,19,18,17,20,18,77,C,16
6728,Black,23,Female,2.14,17,15,17,16,18,107,C,16
2041,White,22,Female,2.51,NA,NA,NA,NA,NA,22,C,16
4287,Hispanic,25,Female,3.85,22,22,22,22,21,50,C,14
4165,White,32,Male,3.48,18,17,17,18,18,104,C,2
2862,Hispanic,34,Male,3.44,22,23,20,22,23,59,C,16
6473,White,29,Female,3.45,18,20,17,16,18,22,C,12
6527,Black,21,Female,3.98,20,21,21,21,21,1,C,2
8290,White,24,Female,3.93,22,23,21,19,22,50,C,14
6903,White,26,Female,3.47,NA,NA,NA,NA,NA,1,C,14
4869,White,18,Female,3.07,24,22,23,26,23,1,C,13
231,White,18,Male,4,NA,NA,NA,NA,NA,24,C,13
8128,Asian,30,Male,3.36,20,20,18,18,17,109,C,7
5855,White,35,Female,2.94,NA,NA,NA,NA,NA,29,C,17
4686,Black,35,Female,3.51,23,23,23,21,23,18,C,16
994,Black,18,Female,3.08,NA,NA,NA,NA,NA,5,C,14
5868,Asian,32,Male,3.38,22,22,21,23,23,29,C,14
4569,White,21,Female,1.53,30,29,31,31,29,122,C,13
622,White,30,Male,2.66,23,22,24,23,22,31,C,14
1177,Asian,34,Female,3.64,25,25,28,27,24,30,C,15
4808,Black,33,Female,3.53,26,27,24,24,24,46,C,12
2428,Black,30,Male,3.98,20,20,20,19,20,32,C,9
4819,Black,21,Female,3.6,NA,NA,NA,NA,NA,104,C,13
2655,White,20,Male,3.42,22,22,24,24,21,31,C,7
2572,White,31,Female,3.62,22,21,23,22,21,10,C,16
8744,White,22,Female,3.59,27,27,26,28,26,107,C,15
649,Hawaiian,35,Female,3.6,22,20,21,21,24,31,C,8
4357,White,24,Male,3.49,28,28,28,31,24,63,C,12
1176,White,26,Male,2.98,20,22,17,19,20,5,C,6
8178,White,33,Female,3.06,25,27,24,28,24,103,C,15
5432,White,30,Male,3.72,21,21,23,22,19,33,C,6
2323,White,22,Female,3.41,21,20,17,21,21,31,C,15
8262,White,33,Male,2.56,NA,NA,NA,NA,NA,19,C,15
1555,White,34,Female,3.75,24,25,25,24,24,29,C,15
7899,White,25,Male,3.11,32,32,33,31,34,69,C,14
7912,White,31,Male,2.8,20,17,18,22,18,87,C,14
3531,White,24,Male,3.4,19,19,18,20,19,102,C,12
3735,White,19,Male,3,NA,NA,NA,NA,NA,1,C,9
746,White,20,Male,3.36,NA,NA,NA,NA,NA,107,C,3
6551,Other,28,Male,3.81,18,15,18,20,17,1,C,16
3986,White,22,Female,2.79,23,23,22,23,24,58,C,13
6173,Hispanic,18,Female,3.94,NA,NA,NA,NA,NA,14,C,6
5197,White,20,Male,2.08,20,20,22,22,21,29,C,12
2111,White,26,Female,3.62,18,18,19,20,18,30,C,15
8734,White,35,Male,3.2,20,20,20,19,19,69,C,15
6928,Black,31,Female,3.97,25,26,23,23,26,40,C,17
4966,White,35,Male,3.49,20,21,17,19,18,10,C,14
6444,White,34,Male,3.94,21,20,21,21,20,107,C,15
9,White,28,Female,1.71,NA,NA,NA,NA,NA,115,C,14
1442,White,23,Female,3.91,26,25,27,26,27,89,C,12
4472,Asian,18,Female,2.93,19,19,21,17,18,125,C,17
7775,Black,29,Female,3.67,30,32,30,31,29,114,C,12
5901,White,26,Female,3.35,19,18,20,17,18,30,C,15
585,White,22,Male,2.87,20,20,22,20,20,75,C,13
6243,White,20,Female,3.64,22,24,22,23,23,114,C,10
5177,White,23,Female,3.36,21,21,18,22,21,5,C,15
5948,White,28,Female,3.58,NA,NA,NA,NA,NA,85,C,13
3940,White,20,Female,3.06,28,29,31,28,28,69,C,17
2820,Hispanic,32,Male,3.31,25,25,24,27,25,101,C,16
4439,Hispanic,25,Female,3.32,26,26,28,25,24,1,C,12
3896,Asian,32,Male,3.05,19,19,18,18,19,39,C,15
4822,White,30,Male,3.77,22,22,24,22,23,88,C,16
3566,Black,33,Female,3.06,NA,NA,NA,NA,NA,22,C,12
5268,Asian,24,Male,3.82,20,19,21,21,18,22,C,17
7859,White,26,Male,2.59,NA,NA,NA,NA,NA,107,C,12
226,Hispanic,23,Male,3.14,20,20,18,20,21,5,C,12
7840,Asian,29,Male,2.82,28,26,28,28,27,1,C,12
6171,White,34,Female,3.84,24,24,23,24,26,29,C,15
2377,White,19,Female,2.32,20,21,19,18,20,98,C,12
2233,Black,34,Male,3.98,23,23,20,26,22,5,C,13
4348,White,28,Male,2.95,NA,NA,NA,NA,NA,106,C,15
7029,White,29,Female,2.98,23,22,24,24,24,29,C,7
5747,White,22,Male,2.7,24,23,23,24,23,5,C,3
5425,White,18,Female,2.58,25,27,22,27,24,3,C,3
4974,White,31,Female,3.16,25,25,26,26,24,50,C,12
7960,White,26,Male,3.76,NA,NA,NA,NA,NA,33,C,17
871,White,20,Female,2.86,19,18,20,19,20,104,C,2
6343,White,35,Female,3.37,24,23,24,25,25,103,C,12
7722,White,21,Female,2.45,16,15,18,17,15,106,C,12
2536,Asian,22,Female,2.88,NA,NA,NA,NA,NA,99,C,15
5168,White,20,Male,3.07,20,19,19,20,20,21,C,6
7315,White,29,Female,2.95,15,17,14,14,13,76,C,6
5857,White,33,Male,2.9,17,18,16,16,18,5,C,12
2594,Hispanic,28,Female,3.53,23,25,24,24,23,108,C,17
4423,White,28,Female,2.95,18,16,17,18,17,8,C,15
2673,White,32,Female,3.24,NA,NA,NA,NA,NA,32,C,12
1481,White,27,Male,2.59,22,24,23,19,25,89,C,16
7975,Black,24,Male,3.57,NA,NA,NA,NA,NA,8,C,13
8271,Asian,34,Female,2.97,NA,NA,NA,NA,NA,54,C,16
2648,Hispanic,18,Female,3.19,23,20,23,22,22,1,C,15
8910,White,21,Female,3.55,NA,NA,NA,NA,NA,5,C,13
6688,White,31,Female,3.31,23,23,22,23,24,24,C,3
2532,White,26,Male,2.31,28,26,27,27,28,23,C,15
3388,White,19,Male,3.55,NA,NA,NA,NA,NA,46,C,15
6468,White,30,Male,2.38,23,23,24,20,24,5,C,13
2705,White,18,Female,3.64,28,28,26,29,29,21,C,3
8537,White,28,Female,3.56,NA,NA,NA,NA,NA,49,C,15
3905,White,30,Female,2.85,20,18,20,20,19,115,C,16
2971,White,22,Female,2.97,25,24,25,27,26,107,C,2
854,Hispanic,29,Male,3.25,14,17,12,13,15,69,C,3
6896,Hispanic,18,Male,3.64,19,16,21,17,19,43,C,15
4304,White,35,Male,3.73,24,24,24,26,23,14,C,15
2663,Hispanic,18,Male,3.53,23,22,22,21,23,75,C,16
4600,White,18,Male,3.06,22,23,21,22,24,50,C,15
4020,Bi-Racial,28,Male,3.52,NA,NA,NA,NA,NA,44,C,15
3432,Hispanic,22,Female,3.68,NA,NA,NA,NA,NA,86,C,12
2807,White,21,Female,3.36,20,17,19,20,21,30,C,15
5024,White,25,Male,3.59,29,31,32,30,28,119,C,15
8514,White,33,Female,3.76,25,25,25,25,27,115,C,2
3727,White,31,Male,3.55,24,23,24,24,24,33,C,15
3478,White,21,Female,3.9,17,19,20,16,16,30,C,16
3662,White,29,Female,3.57,21,21,20,23,21,122,C,15
8791,White,25,Male,2.96,NA,NA,NA,NA,NA,8,C,3
7952,White,18,Male,3.5,19,19,18,17,20,63,C,16
2917,White,19,Male,3.64,NA,NA,NA,NA,NA,43,C,14
5503,White,21,Female,3.58,NA,NA,NA,NA,NA,31,C,12
1090,Black,19,Female,3.59,19,18,20,21,20,32,C,5
5970,White,33,Female,2.78,NA,NA,NA,NA,NA,30,C,15
6876,White,22,Male,3.5,NA,NA,NA,NA,NA,31,C,15
3035,White,29,Male,3.16,20,19,18,21,20,63,C,6
2464,White,29,Male,3.65,NA,NA,NA,NA,NA,5,C,15
8058,White,28,Female,3.97,20,18,21,21,19,33,C,12
5443,White,21,Female,3.09,22,23,25,22,21,114,C,3
3844,White,21,Female,3.39,NA,NA,NA,NA,NA,111,C,16
2488,White,27,Female,3.2,NA,NA,NA,NA,NA,20,C,18
8725,Bi-Racial,25,Female,2.87,20,21,21,18,22,21,C,18
6454,White,19,Male,3.44,23,23,23,24,26,21,C,3
368,Hispanic,23,Male,3.44,18,16,18,20,17,20,C,18
7768,Native,18,Female,2.92,NA,NA,NA,NA,NA,15,C,15
5862,White,24,Male,3.44,31,30,31,30,32,16,C,2
4537,White,27,Female,2.94,NA,NA,NA,NA,NA,69,C,15
4029,Hispanic,30,Male,3.18,NA,NA,NA,NA,NA,5,C,17
3866,Black,35,Male,3.71,NA,NA,NA,NA,NA,63,C,16
1609,White,25,Female,3.71,NA,NA,NA,NA,NA,31,C,12
230,White,32,Male,2.74,28,29,29,26,29,58,C,6
1054,White,25,Male,3.33,22,23,23,20,21,29,C,14
5277,Black,20,Male,2.87,29,29,30,31,28,103,C,14
8424,White,29,Female,2.52,20,22,19,22,20,21,C,16
142,Asian,21,Male,2.88,26,24,28,24,26,18,C,13
7671,White,27,Female,3.13,21,21,22,20,22,5,C,13
7875,Black,18,Male,3.08,NA,NA,NA,NA,NA,90,C,3
4212,White,32,Female,3.11,21,21,20,21,19,76,C,16
8547,Asian,25,Female,3.08,24,25,24,26,25,14,C,13
4895,Black,28,Male,3.57,NA,NA,NA,NA,NA,104,C,15
1026,Black,31,Female,2.56,21,19,22,23,22,1,C,15
7199,White,30,Female,2.66,26,24,24,28,25,115,C,15
6977,Black,24,Female,2.93,NA,NA,NA,NA,NA,89,C,16
2176,White,28,Female,2.94,20,21,20,20,20,77,C,6
550,White,27,Female,3.63,NA,NA,NA,NA,NA,105,C,15
7306,White,30,Female,3.46,NA,NA,NA,NA,NA,1,C,15.5
7363,Black,21,Female,3.25,21,21,19,19,22,107,C,18
896,White,19,Male,3.68,NA,NA,NA,NA,NA,122,C,15
739,Black,33,Male,3.82,17,17,17,16,19,5,C,12
6405,Black,30,Male,2.92,NA,NA,NA,NA,NA,5,C,15.5
1573,White,21,Female,3.18,17,16,17,19,17,108,C,17
6463,Hispanic,31,Female,3.19,30,31,30,32,32,104,C,14
1837,Hispanic,29,Male,3.22,30,34,30,33,29,5,C,15
2926,White,20,Male,3.5,18,17,18,19,19,122,C,13
4548,White,31,Male,3.58,17,20,18,15,18,103,C,2
7019,White,34,Female,3.19,NA,NA,NA,NA,NA,50,C,13
940,White,18,Female,3.02,21,23,20,22,20,89,C,5
2592,White,35,Female,3.44,20,20,20,20,20,1,C,15
1550,White,28,Male,3.2,21,21,18,20,21,104,C,13
1450,Black,20,Male,3.73,NA,NA,NA,NA,NA,1,C,15
6534,Black,27,Male,3.28,NA,NA,NA,NA,NA,115,C,12
5441,White,29,Female,3.63,NA,NA,NA,NA,NA,103,C,9
2400,White,30,Female,2.88,20,21,19,19,18,114,C,12
5722,White,35,Female,2.49,NA,NA,NA,NA,NA,32,C,2
8142,White,30,Male,3.47,NA,NA,NA,NA,NA,31,C,13
171,White,32,Female,3.44,NA,NA,NA,NA,NA,23,C,2
7459,White,21,Female,3.36,NA,NA,NA,NA,NA,29,C,13
2319,White,18,Male,3.77,16,16,16,16,16,119,C,15
2484,White,21,Male,2.2,29,26,29,31,27,1,C,16
1627,White,33,Male,2.84,26,28,27,25,28,5,C,16
2827,Hispanic,21,Female,3.16,17,16,19,17,16,107,C,12
5045,White,26,Female,2.66,24,23,24,26,25,87,C,2
8473,White,35,Female,2.49,NA,NA,NA,NA,NA,69,C,17
8879,Hispanic,34,Male,3.13,24,27,26,24,25,49,C,6
5611,White,30,Female,3.17,25,24,24,27,26,104,C,14
6445,White,18,Male,3.23,NA,NA,NA,NA,NA,5,C,15
2178,White,31,Female,3.46,23,22,25,21,23,5,C,14
565,White,26,Female,3.44,23,23,22,24,24,32,C,13
7287,Hispanic,18,Female,3.66,27,28,27,25,28,32,C,5
2181,Hispanic,34,Female,3.87,21,20,19,21,24,108,C,6
1346,White,32,Female,3.19,NA,NA,NA,NA,NA,22,C,3
4580,Black,25,Female,3.62,25,27,26,23,25,107,C,3
5697,White,18,Female,2.76,27,27,28,27,26,3,C,5
1776,Asian,30,Female,3.76,20,17,21,18,21,1,C,2
4917,White,30,Male,3.18,NA,NA,NA,NA,NA,29,C,12
3920,White,27,Male,3.41,NA,NA,NA,NA,NA,1,C,18
