"ID","Race","Age","Sex","HS_GPA","ACT","ACT_ENG","ACT_MATH","ACT_READ","ACT_SCI","MAJOR_CODE","Stype","Hours"
"0108","White",33,"Male",3.13,31,31,30,30,32,"000106","T",16
"0109","White",35,"Female",2.45,23,21,21,23,23,"000107","M",18
"0110","White",35,"Male",2.54,NA,NA,NA,NA,NA,"000001","D",12
"0111","White",27,"Male",3.38,24,23,24,26,24,"000078","C",15
"0112","White",20,"Female",3.5,NA,NA,NA,NA,NA,"000089","T",13
"0113","White",28,"Male",3.05,18,17,19,17,15,"000022","M",12
"0114","Black",26,"Female",2.38,20,20,22,22,18,"000022","C",13
"0115","White",34,"Male",3.54,17,17,17,20,16,"000087","T",14
"0116","Native",28,"Male",2.1,23,21,21,25,22,"000107","C",12
"0117","White",22,"Male",3.5,27,29,25,27,28,"000059","C",14
"0118","Black",25,"Male",1.78,20,18,21,24,21,"000008","T",14
"0119","Black",28,"Female",3.04,32,31,31,32,31,"000016","C",2
"0120","White",27,"Male",3.45,27,25,28,28,26,"000119","C",15
"0121","White",32,"Female",3.71,24,24,26,23,25,"000031","N",15
"0122","White",26,"Male",2,15,14,14,16,14,"000107","C",6
"0123","White",35,"Male",3.82,31,28,32,31,30,"000005","T",14
"0124","Black",35,"Female",2.88,21,20,20,21,22,"000001","R",12
"0125","White",23,"Male",3.68,NA,NA,NA,NA,NA,"000085","C",12
"0126","Hispanic",19,"Female",3.55,21,22,21,21,23,"000001","D",3
"0127","Asian",20,"Female",3,19,17,18,18,19,"000052","P",14
"0128","Black",21,"Female",3.49,NA,NA,NA,NA,NA,"000021","C",17
"0129","White",32,"Male",2.65,20,21,20,19,20,"000005","C",3
"0130","Asian",23,"Female",3.41,24,19,25,23,23,"000001","N",16
"0131","White",30,"Female",3.73,21,22,20,21,21,"000075","C",17
"0132","White",30,"Male",3.44,26,28,25,26,23,"000098","C",6
"0133","Black",20,"Female",3.9,23,21,22,20,23,"000032","C",14
"0134","Hispanic",34,"Female",2.9,NA,NA,NA,NA,NA,"000063","D",15
"0135","Hispanic",30,"Male",3.43,24,21,24,23,23,"000115","N",16
"0136","White",18,"Female",3.17,NA,NA,NA,NA,NA,"000001","C",16
"0137","White",21,"Female",3.28,22,20,22,21,22,"000111","C",12
"0138","White",31,"Male",2.81,NA,NA,NA,NA,NA,"000122","N",14
"0139","White",32,"Female",3.57,NA,NA,NA,NA,NA,"000099","D",15
"0140","Hispanic",22,"Male",3.37,NA,NA,NA,NA,NA,"000046","C",16
"0141","White",26,"Male",2.76,21,22,22,22,22,"000059","C",15
"0142","Asian",21,"Male",2.88,26,24,28,24,26,"000018","C",13
"0143","White",21,"Male",3.36,24,23,25,27,21,"000103","M",14
"0144","Asian",34,"Female",2.88,28,27,29,27,27,"000046","D",18
"0145","White",33,"Male",3.58,23,23,22,23,20,"000030","C",16
"0146","White",28,"Male",3.59,21,22,21,22,22,"000001","R",14
"0147","White",24,"Female",2.84,17,19,19,19,17,"000103","N",15
"0148","White",25,"Male",2.98,NA,NA,NA,NA,NA,"000005","N",15
"0149","White",35,"Female",2,23,22,25,21,24,"000001","T",16
"0150","White",29,"Male",3.13,22,23,21,22,21,"000114","N",16
"0151","White",22,"Male",3.09,NA,NA,NA,NA,NA,"000001","M",4
"0152","White",18,"Male",3.2,NA,NA,NA,NA,NA,"000099","C",16.5
"0153","Hispanic",32,"Female",1.69,30,30,31,27,34,"000001","D",15
"0154","White",32,"Male",3.36,18,18,17,17,18,"000050","C",16
"0155","White",27,"Female",3.09,NA,NA,NA,NA,NA,"000005","C",12
"0156","Hispanic",24,"Male",2.85,NA,NA,NA,NA,NA,"000008","T",3
"0157","Hawaiian",23,"Female",3.02,NA,NA,NA,NA,NA,"000098","C",16
"0158","Hispanic",20,"Male",3.49,29,30,28,30,29,"000098","C",13
"0159","White",30,"Male",3.36,NA,NA,NA,NA,NA,"000075","C",14
"0160","White",20,"Female",3.23,29,30,30,28,28,"000114","C",15
"0161","White",26,"Female",2.64,NA,NA,NA,NA,NA,"000017","N",15
"0162","White",27,"Male",2.97,21,24,23,22,23,"000005","C",14
"0163","White",26,"Female",2.82,NA,NA,NA,NA,NA,"000033","C",16
"0164","Black",29,"Female",3.23,21,20,18,20,20,"000020","C",3
"0165","White",18,"Male",2.97,30,32,30,31,32,"000029","T",17
"0166","White",34,"Male",3.4,NA,NA,NA,NA,NA,"000024","C",14
"0167","White",30,"Female",2.86,26,25,25,26,25,"000008","N",7
"0168","White",33,"Male",2.19,18,17,19,17,17,"000038","M",2
"0169","White",25,"Female",2.96,NA,NA,NA,NA,NA,"000001","C",16
"0170","White",31,"Female",3.68,19,22,17,21,19,"000005","C",15
"0171","White",32,"Female",3.44,NA,NA,NA,NA,NA,"000023","C",2
"0172","White",24,"Male",2.99,NA,NA,NA,NA,NA,"000109","T",15
"0173","White",33,"Male",2.8,17,19,19,18,19,"000099","C",14
"0174","Black",33,"Male",3.26,19,20,17,18,18,"000087","D",16
"0175","Hispanic",32,"Male",2.99,23,23,21,20,22,"000023","N",14
"0176","White",27,"Male",2.05,15,15,13,14,13,"000001","C",17
"0177","White",19,"Male",3.45,NA,NA,NA,NA,NA,"000119","C",15
"0178","White",35,"Male",3.8,NA,NA,NA,NA,NA,"000087","T",12
"0179","White",25,"Female",2.97,23,23,20,22,21,"000109","C",14
"0180","White",28,"Female",3.43,NA,NA,NA,NA,NA,"000005","C",9
"0181","Black",20,"Male",3.95,20,19,16,20,21,"000031","D",16
"0182","White",24,"Female",2.36,18,19,19,17,19,"000021","D",16
"0183","White",19,"Female",1.75,NA,NA,NA,NA,NA,"000001","R",16
"0184","White",32,"Male",3.82,16,17,16,17,12,"000060","C",13
"0185","White",22,"Female",3.46,22,23,23,24,20,"000089","M",15
"0186","White",22,"Female",3.3,13,11,15,13,13,"000107","T",16
"0187","Hispanic",31,"Female",3.58,NA,NA,NA,NA,NA,"000105","M",6
"0188","Black",22,"Male",3.49,NA,NA,NA,NA,NA,"000043","C",12
"0189","White",22,"Female",3.8,18,16,19,17,17,"000039","C",12
"0190","White",22,"Female",2.89,21,21,22,22,21,"000005","T",22
"0191","Hispanic",26,"Female",3.85,NA,NA,NA,NA,NA,"000100","N",15
"0192","White",26,"Male",3.76,21,20,21,21,20,"000029","T",17
"0193","White",18,"Male",2.51,NA,NA,NA,NA,NA,"000122","C",3
"0194","White",22,"Female",3.3,NA,NA,NA,NA,NA,"000001","N",12
"0195","White",25,"Male",3.13,NA,NA,NA,NA,NA,"000059","T",15
"0196","Black",23,"Female",2.74,31,30,30,32,33,"000107","R",12
"0197","Hispanic",20,"Female",2.48,21,22,21,22,22,"000098","C",15
"0198","White",29,"Male",2.74,18,17,18,18,18,"000030","D",7
"0199","White",24,"Female",3.41,23,22,23,23,20,"000020","D",15
"0200","Asian",20,"Female",3.7,NA,NA,NA,NA,NA,"000029","T",15
"0201","White",21,"Male",2.11,20,20,19,19,18,"000005","N",15
"0202","Bi-Racial",19,"Male",3.9,21,21,20,20,23,"000098","C",3
"0203","Hispanic",20,"Male",3.75,NA,NA,NA,NA,NA,"000046","M",6
"0204","White",33,"Female",3.92,30,32,29,29,31,"000086","N",9
"0205","White",34,"Male",3.64,15,17,14,18,16,"000005","M",16
"0206","White",33,"Female",3.23,NA,NA,NA,NA,NA,"000005","C",14
"0207","Hispanic",18,"Female",3.31,NA,NA,NA,NA,NA,"000007","N",12
"0208","Other",24,"Male",2.89,23,24,25,22,21,"000087","C",3
"0209","White",25,"Female",3.91,27,26,26,27,27,"000008","S",14
"0210","White",18,"Female",3.95,24,24,21,26,23,"000104","C",15
"0211","White",23,"Female",3.3,25,25,25,23,25,"000100","C",12
"0212","Hispanic",30,"Male",3.28,NA,NA,NA,NA,NA,"000100","C",13
"0213","White",23,"Female",3.44,NA,NA,NA,NA,NA,"000099","C",12
"0214","White",33,"Male",3.49,NA,NA,NA,NA,NA,"000049","T",14
"0215","Black",18,"Male",3.57,NA,NA,NA,NA,NA,"000050","C",16
"0216","White",18,"Male",2.85,NA,NA,NA,NA,NA,"000001","C",14
"0217","Hispanic",22,"Male",2.82,23,23,23,22,24,"000016","C",12
"0218","Hispanic",23,"Female",3.38,22,23,25,23,20,"000029","C",12
"0219","Hispanic",23,"Male",3.23,NA,NA,NA,NA,NA,"000001","C",14
"0220","White",21,"Male",2.9,21,23,21,20,19,"000050","T",13
"0221","White",34,"Female",2.45,NA,NA,NA,NA,NA,"000001","C",14
"0222","White",21,"Male",3.54,23,22,24,22,24,"000038","C",12
"0223","White",29,"Female",2.85,22,21,22,23,21,"000004","C",14
"0224","Bi-Racial",20,"Female",2.72,19,18,18,18,21,"000050","C",18
"0225","Hispanic",32,"Female",3.21,NA,NA,NA,NA,NA,"000011","C",7
"0226","Hispanic",23,"Male",3.14,20,20,18,20,21,"000005","C",12
"0227","White",25,"Female",3.34,21,21,18,20,24,"000107","N",14
"0228","White",19,"Female",2.33,29,30,28,28,32,"000111","C",15
"0229","Black",33,"Male",3.43,27,25,28,27,28,"000106","M",12
"0230","White",32,"Male",2.74,28,29,29,26,29,"000058","C",6
"0231","White",18,"Male",4,NA,NA,NA,NA,NA,"000024","D",13
"0232","White",23,"Male",3.74,20,19,19,21,18,"000050","T",13
"0233","White",18,"Male",3.57,23,23,22,26,25,"000054","C",12
"0234","White",18,"Male",3.35,20,20,21,21,16,"000023","C",13
"0235","White",26,"Female",2.63,24,24,26,24,25,"000031","C",3
"0236","White",29,"Female",2.34,24,24,25,24,24,"000082","M",13
"0237","White",33,"Male",3.3,27,27,26,27,28,"000032","N",15
"0238","Bi-Racial",27,"Female",2.57,18,16,19,15,16,"000001","N",9
"0239","White",27,"Female",2.67,18,17,17,16,19,"000050","T",15
"0240","Hispanic",35,"Male",3.27,NA,NA,NA,NA,NA,"000001","C",14
"0241","Hispanic",26,"Female",1.77,25,24,23,25,25,"000030","C",14
"0242","White",26,"Female",2.99,NA,NA,NA,NA,NA,"000056","T",6
"0243","Hispanic",28,"Male",2.83,21,20,21,21,18,"000106","C",12
"0244","Black",26,"Female",3.71,NA,NA,NA,NA,NA,"000033","C",15
"0245","White",20,"Female",3.6,18,17,17,18,17,"000069","T",13
"0246","White",29,"Male",2.65,26,26,28,26,26,"000014","N",14
"0247","White",19,"Female",3.78,22,22,23,22,21,"000077","C",12
"0248","White",20,"Male",4,NA,NA,NA,NA,NA,"000014","N",16
"0249","Asian",28,"Female",3.58,27,25,26,26,29,"000050","C",14
"0250","Native",19,"Male",3.82,20,20,19,20,21,"000104","N",15
"0251","White",32,"Male",3.97,NA,NA,NA,NA,NA,"000020","D",13
"0252","White",19,"Female",3.5,21,21,20,21,24,"000069","T",3
"0253","White",31,"Male",3.38,21,22,23,20,21,"000015","C",12
"0254","White",19,"Male",3.53,24,25,23,24,24,"000044","N",16
"0255","White",30,"Female",2.95,NA,NA,NA,NA,NA,"000089","N",3
"0256","Asian",22,"Male",2.87,28,27,27,28,29,"000119","T",12
"0257","Black",22,"Female",3.1,18,17,16,17,21,"000107","D",18
"0258","White",28,"Female",3.84,NA,NA,NA,NA,NA,"000020","N",15
"0259","Black",24,"Male",3.26,19,18,20,20,19,"000005","M",14
"0260","Hispanic",19,"Male",3.25,27,26,27,29,30,"000001","T",15
"0261","White",32,"Male",2.99,30,28,30,31,29,"000075","D",10
"0262","White",20,"Female",3.66,NA,NA,NA,NA,NA,"000114","T",3
"0263","Asian",27,"Male",3.61,28,28,28,28,26,"000087","D",12
"0264","Black",32,"Female",3.46,NA,NA,NA,NA,NA,"000031","N",6
"0265","White",27,"Female",2.43,20,20,18,18,19,"000030","C",9
"0266","White",30,"Male",3.45,NA,NA,NA,NA,NA,"000089","M",15
"0267","White",27,"Male",2.83,NA,NA,NA,NA,NA,"000001","S",16
"0268","White",20,"Male",3.33,20,21,18,21,20,"000074","C",15
"0269","White",23,"Female",3.74,27,28,25,26,27,"000089","D",15
"0270","Black",22,"Female",2.76,20,20,18,19,20,"000114","C",6
"0271","White",31,"Male",3.76,31,33,32,28,30,"000087","N",16
"0272","Bi-Racial",23,"Male",3.11,12,13,12,11,13,"000108","D",15
"0273","White",23,"Female",3.41,28,27,27,27,27,"000039","C",13
"0274","White",30,"Female",2.3,25,26,24,23,23,"000023","C",13
"0275","White",31,"Female",3.36,18,19,18,15,17,"000020","C",16
"0276","White",31,"Female",2.96,19,19,20,20,21,"000114","C",14
"0277","White",30,"Female",3.77,27,27,25,27,29,"000022","C",12
"0278","Hispanic",32,"Male",3.78,23,25,24,23,24,"000032","D",14
"0279","Black",30,"Male",3.43,22,20,20,21,21,"000008","D",14
"0280","White",21,"Male",3.55,NA,NA,NA,NA,NA,"000074","P",13
"0281","Black",19,"Male",2.8,24,22,23,25,27,"000005","C",12
"0282","White",21,"Male",3.72,20,22,18,19,19,"000043","D",15
"0283","White",23,"Female",2.73,20,19,19,18,22,"000001","C",12
"0284","Asian",21,"Female",2.68,NA,NA,NA,NA,NA,"000001","C",15
"0285","White",31,"Female",3.83,21,19,20,22,20,"000107","C",15
"0286","White",25,"Female",2.53,24,24,25,21,24,"000017","D",17
"0287","White",31,"Male",2.81,NA,NA,NA,NA,NA,"000012","T",15
"0288","White",30,"Male",3.73,NA,NA,NA,NA,NA,"000052","D",11
"0289","White",19,"Female",3.45,NA,NA,NA,NA,NA,"000050","T",12
"0290","Asian",26,"Female",3.68,NA,NA,NA,NA,NA,"000038","T",16
"0291","White",22,"Male",2.86,23,25,24,24,20,"000031","M",6
"0292","White",24,"Female",3.96,28,26,28,29,28,"000055","D",15
"0293","Hispanic",19,"Male",3.42,NA,NA,NA,NA,NA,"000046","M",11
"0294","Hispanic",31,"Female",2.4,31,31,33,32,31,"000034","M",15
"0295","White",31,"Female",3.69,NA,NA,NA,NA,NA,"000106","Y",3
"0296","White",21,"Female",2.93,22,22,21,22,23,"000033","C",14
"0297","White",27,"Female",3.09,NA,NA,NA,NA,NA,"000043","N",17
"0298","White",21,"Female",3.46,NA,NA,NA,NA,NA,"000014","C",12
"0299","White",34,"Male",3.04,24,24,23,25,24,"000032","C",15
"0300","White",24,"Male",2.81,NA,NA,NA,NA,NA,"000022","D",14
"0301","White",24,"Female",2.37,19,19,18,16,20,"000114","C",17
"0302","Black",23,"Male",2.78,23,26,23,20,22,"000055","R",14
"0303","White",26,"Female",3.85,28,30,27,28,32,"000032","T",4
"0304","White",29,"Male",3.27,30,26,29,33,31,"000086","N",15
"0305","Bi-Racial",35,"Female",3.35,20,20,21,20,18,"000005","T",3
"0306","White",35,"Male",3.3,25,23,24,23,25,"000024","C",21
"0307","White",24,"Male",3.09,19,22,20,22,20,"000085","P",15
"0308","White",27,"Female",3.38,21,23,21,20,19,"000100","T",17
"0309","White",26,"Male",3.39,21,20,19,20,19,"000022","S",15
"0310","White",20,"Female",3.75,24,24,24,23,23,"000063","S",13
"0311","Black",24,"Female",3.09,NA,NA,NA,NA,NA,"000107","C",18
"0312","White",29,"Female",3.82,NA,NA,NA,NA,NA,"000054","C",12
"0313","Black",20,"Male",2.96,23,22,27,20,25,"000014","M",15
"0314","Hispanic",28,"Female",3.52,22,21,22,22,23,"000108","C",15
"0315","White",27,"Female",3.07,NA,NA,NA,NA,NA,"000119","T",14
"0316","White",21,"Male",3.56,18,17,17,18,20,"000054","N",12
"0317","White",25,"Female",3.93,24,26,23,21,22,"000001","T",7
"0318","White",35,"Female",3.85,18,17,18,16,19,"000114","C",6
"0319","White",23,"Male",3.16,19,23,20,18,18,"000029","C",13
"0320","White",21,"Female",2.98,NA,NA,NA,NA,NA,"000107","N",19
"0321","White",35,"Male",3.28,16,17,14,16,17,"000086","C",13
"0322","Asian",35,"Female",3.74,28,29,29,27,29,"000014","N",9
"0323","Asian",34,"Female",2.83,NA,NA,NA,NA,NA,"000029","D",10
"0324","White",29,"Female",2.06,NA,NA,NA,NA,NA,"000030","D",15
"0325","Hispanic",33,"Male",3.55,21,21,21,21,22,"000122","M",13
"0326","White",19,"Male",3.12,22,22,21,23,26,"000032","D",15
"0327","White",19,"Male",3.23,20,19,19,20,21,"000033","M",15
"0328","Black",22,"Female",3.23,18,18,19,19,19,"000106","C",12
"0329","White",25,"Female",2.22,NA,NA,NA,NA,NA,"000088","C",12
"0330","Asian",35,"Female",3.48,NA,NA,NA,NA,NA,"000100","C",15
"0331","White",27,"Male",2.96,25,23,26,23,25,"000108","C",16
"0332","White",21,"Male",3.55,22,21,22,23,23,"000033","T",13
"0333","White",21,"Male",2.78,NA,NA,NA,NA,NA,"000058","M",12
"0334","White",27,"Male",3.5,24,24,23,27,27,"000029","N",15
"0335","White",18,"Male",3.65,23,21,22,23,24,"000077","T",15
"0336","White",27,"Male",3.3,23,21,21,22,21,"000100","T",7
"0337","White",23,"Male",3.92,20,19,19,19,18,"000050","C",16
"0338","White",28,"Female",3.72,NA,NA,NA,NA,NA,"000084","N",12
"0339","White",24,"Male",3.63,13,13,12,14,12,"000004","M",7
"0340","White",26,"Female",3.62,17,17,17,18,17,"000021","N",3
"0341","Hispanic",33,"Female",3.15,23,25,24,25,22,"000108","P",15
"0342","White",31,"Male",2.97,20,19,18,19,21,"000078","N",15
"0343","Black",33,"Female",3.11,24,21,24,23,24,"000087","T",16
"0344","White",28,"Female",2.79,21,20,20,24,17,"000107","T",6
"0345","Hispanic",29,"Female",3.42,21,21,22,18,22,"000001","T",13
"0346","Asian",21,"Male",2.95,24,24,24,23,25,"000019","T",12
"0347","Hispanic",27,"Male",2.3,NA,NA,NA,NA,NA,"000031","C",16
"0348","White",26,"Male",3,NA,NA,NA,NA,NA,"000001","N",14
"0349","Asian",34,"Female",2.84,14,12,15,15,14,"000038","T",12
"0350","White",28,"Male",2.65,NA,NA,NA,NA,NA,"000001","C",14
"0351","White",21,"Male",3.76,NA,NA,NA,NA,NA,"000058","M",16
"0352","Hispanic",24,"Female",2.8,20,21,19,19,19,"000005","C",16
"0353","White",31,"Male",3.16,23,25,24,23,23,"000022","M",15
"0354","White",32,"Female",3.03,24,24,26,23,24,"000104","T",12
"0355","Black",34,"Female",2.74,29,29,28,29,27,"000100","N",14
"0356","White",29,"Female",3.92,24,24,24,24,24,"000001","C",14.5
"0357","White",26,"Female",3.73,NA,NA,NA,NA,NA,"000043","N",16
"0358","Asian",23,"Female",3.24,20,20,20,22,21,"000022","C",12
"0359","White",18,"Female",3.69,NA,NA,NA,NA,NA,"000005","C",12
"0360","White",28,"Male",2.91,NA,NA,NA,NA,NA,"000031","C",13
"0361","White",19,"Male",3.72,18,17,18,19,18,"000031","D",13
"0362","White",19,"Female",3.33,19,20,19,19,21,"000026","N",14
"0363","White",23,"Male",3.44,24,23,21,25,24,"000115","T",12
"0364","White",22,"Male",3.34,19,20,17,18,20,"000031","C",15
"0365","White",22,"Female",3.44,20,21,22,20,21,"000089","T",15
"0366","Hispanic",29,"Female",3.47,NA,NA,NA,NA,NA,"000025","N",12
"0367","Hispanic",23,"Male",2.95,31,32,32,27,29,"000086","C",15
"0368","Hispanic",23,"Male",3.44,18,16,18,20,17,"000020","C",18
"0369","White",18,"Female",2.56,18,19,17,19,19,"000063","D",15
"0370","Hispanic",34,"Female",2.98,34,34,36,31,35,"000029","M",15
"0371","White",23,"Female",3.6,19,20,20,18,21,"000104","C",14
"0372","Hispanic",32,"Female",3.17,NA,NA,NA,NA,NA,"000100","C",2
"0373","White",28,"Male",2.22,NA,NA,NA,NA,NA,"000020","S",14
"0374","Black",26,"Male",2.83,18,18,16,18,19,"000089","N",15
"0375","White",30,"Male",2.85,27,31,26,29,29,"000001","P",16
"0376","White",23,"Female",2.5,19,21,19,19,20,"000074","S",15
"0377","Hispanic",22,"Female",3.19,NA,NA,NA,NA,NA,"000107","M",15
"0378","Black",27,"Male",2.15,NA,NA,NA,NA,NA,"000106","D",16
"0379","Hispanic",33,"Female",3.5,NA,NA,NA,NA,NA,"000087","T",14
