MAJOR_CODE,MAJOR_TITLE,COLLEGE,DEPARTMENT
82,Emergency Management (UG Cert),Business and Professional Studies,Crisis and Disaster Management
83,International Business,Business and Professional Studies,Economics and Finance and the School of Accountancy
84,Graphic Technologies,"Health, Science and Technology",School of Technology
85,Communication Studies,"Arts, Humanities, and Social Sciences",Communication
86,Digital Media Production,"Arts, Humanities, and Social Sciences",Communication
87,Radiologic Technology,"Health, Science and Technology",Biology & Agriculture
88,Economics,Business and Professional Studies,Economics and Finance and the School of Accountancy
89,Sport Management,"Health, Science and Technology",Nutrition and Kinesiology
90,Hospitality Management,Business and Professional Studies,Management
91,Criminal Justice,Business and Professional Studies,Criminal Justice
92,Accountancy BSBA/MS,Business and Professional Studies,Economics and Finance and the School of Accountancy
93,Anthropology,"Arts, Humanities, and Social Sciences",History & Anthropology
94,Waiver Program,Undesignated/Open Option,Undesignated/Open Option
95,Events Marketing & Management,Business and Professional Studies,Marketing and Public Relations
96,Crisis & Disaster Management,Business and Professional Studies,Crisis and Disaster Management
97,Medical Laboratory Science,"Health, Science and Technology",Biology & Agriculture
98,Secondary School Administration,Education,"Middle, Secondary and Adult Education"
99,Psychology,"Health, Science and Technology",Psychological Science
100,Psychology,"Health, Science and Technology",Psychological Science
101,Sociology,"Arts, Humanities, and Social Sciences","Sociology, Gerontology and Cross-Disciplinary Studies"
102,Sociology,"Arts, Humanities, and Social Sciences","Sociology, Gerontology and Cross-Disciplinary Studies"
103,Special Education,Education,Ed Leadership & Human Dev
104,Physical Education,"Health, Science and Technology",Nutrition and Kinesiology
105,Automotive Technology Management,"Health, Science and Technology",School of Technology
106,Middle School-Jr High School,Education,"Middle, Secondary and Adult Education"
107,Criminal Justice,Business and Professional Studies,Criminal Justice
108,Social Work,Business and Professional Studies,Communication Disorders & Social Work
109,Athletic Training,"Health, Science and Technology",Nutrition and Kinesiology
110,Career and Technical Education (UG Cert),Education,"Middle, Secondary and Adult Education"
111,Occupational Safety,"Health, Science and Technology","Environmental, Physical and Applied Sciences"
112,Systems Engineering Technology,"Health, Science and Technology",School of Technology
113,CDM - Emergency Services Management,Business and Professional Studies,Crisis and Disaster Management
114,Open Option,Undesignated/Open Option,Undesignated/Open Option
115,Agricultural Science,"Health, Science and Technology",Biology & Agriculture
116,Cybersecurity,"Health, Science and Technology",School of Computer Science and Mathematics
117,Networking Technology,"Health, Science and Technology",School of Technology
118,Technology Management,"Health, Science and Technology",School of Technology
119,Technology Management (transfer),"Health, Science and Technology",School of Technology
120,Central MO Police Academy (UG Cert),Business and Professional Studies,Crisis and Disaster Management
121,General Studies,Provost,General Studies
122,General Studies,Provost,General Studies
123,Ind Major: Religious Studies,"Arts, Humanities, and Social Sciences","Sociology, Gerontology and Cross-Disciplinary Studies"
124,Ind Major: Creative Writing,"Arts, Humanities, and Social Sciences",English & Philosophy
125,Ind Major: Anthropology,"Arts, Humanities, and Social Sciences",History & Anthropology
126,Ind Major: Working w/Acive Children,Education,Ed Leadership & Human Dev
127,Ind Major: Office Management,Education,"Middle, Secondary and Adult Education"
128,Ind Major: Physics,"Health, Science and Technology","Environmental, Physical and Applied Sciences"
129,Ind Major: Multimedia Technologies,"Health, Science and Technology",School of Technology
130,Ind Major: Creative Studies,"Arts, Humanities, and Social Sciences",Art and Design
131,Ind Major: Music Composition,"Arts, Humanities, and Social Sciences",Music
132,Ind Major: Youth in Human Services,Education,Ed Leadership & Human Dev
133,Ind Major: Early Chdhood Educ/Develop,Education,Elementary Education
134,Ind Major: Interdis Child & Adol Stds,Education,Elementary Education
135,Ind Major: Aviation Maint Tech Mgt,Business and Professional Studies,Aviation
136,Ind Major: Business Psychology,"Health, Science and Technology",Psychological Science
